"Municipality","MunicipalityID","Year","PcgEduSuperior","PcgEduMediaSuperior","PcgEduBasico","PcgSinEdu"
"Etchojoa",26026,2015,8.19327731092437,15.1260504201681,64.0756302521009,12.6050420168067
"Etchojoa",26026,2016,5.80912863070539,17.8423236514523,62.655601659751,13.6929460580913
"Etchojoa",26026,2017,18.3760683760684,17.9487179487179,62.8205128205128,0.854700854700855
"Etchojoa",26026,2018,10.7806691449814,16.3568773234201,66.1710037174721,6.69144981412639
"Etchojoa",26026,2019,17.7820267686424,21.0325047801147,55.640535372849,5.54493307839388
"Etchojoa",26026,2020,17.6991150442478,18.3628318584071,59.7345132743363,4.20353982300885
"Etchojoa",26026,2021,25,25.7911392405063,46.0443037974684,3.16455696202532
"Etchojoa",26026,2022,18.1347150259067,34.7150259067358,46.1139896373057,1.03626943005181
"Guaymas",26029,2010,22.1238938053097,15.802781289507,56.890012642225,5.18331226295828
"Guaymas",26029,2011,31.0432569974555,17.175572519084,47.7099236641221,4.07124681933842
"Guaymas",26029,2012,33.2831325301205,17.1686746987952,44.578313253012,4.96987951807229
"Guaymas",26029,2013,32.419547079857,18.4743742550656,45.6495828367104,3.4564958283671
"Guaymas",26029,2014,38.0809595202399,16.9415292353823,44.527736131934,0.449775112443778
"Guaymas",26029,2015,33.6054421768707,22.1768707482993,41.2244897959184,2.99319727891156
"Guaymas",26029,2016,27.4159663865546,25.5252100840336,44.327731092437,2.73109243697479
"Guaymas",26029,2017,29.6996662958843,23.5817575083426,43.2703003337041,3.44827586206897
"Guaymas",26029,2018,28.923988153998,24.5804540967424,43.7314906219151,2.76406712734452
"Guaymas",26029,2019,28.7671232876712,24.7553816046967,44.2270058708415,2.25048923679061
"Guaymas",26029,2020,24.2168674698795,29.7590361445783,43.855421686747,2.16867469879518
"Guaymas",26029,2021,23.6227824463119,28.0112044817927,45.8450046685341,2.52100840336134
"Guaymas",26029,2022,17.92,22.24,54.88,4.96
"Hermosillo",26030,2010,30.6277003738046,21.3068595562891,46.113889023739,1.95155104616729
"Hermosillo",26030,2011,31.191774870879,21.9916011005454,44.9292851281556,1.88733890041995
"Hermosillo",26030,2012,30.8532225335781,21.5431442651464,45.2604116339743,2.34322156730119
"Hermosillo",26030,2013,32.7551803530315,21.8777180864671,43.341007930417,2.02609363008442
"Hermosillo",26030,2014,33.6071428571429,22.2244897959184,42.3673469387755,1.80102040816327
"Hermosillo",26030,2015,34.261576971214,22.4916562369629,41.5467250730079,1.70004171881519
"Hermosillo",26030,2016,33.0316031812474,23.074508162411,41.9056090414399,1.98827961490163
"Hermosillo",26030,2017,34.2240284480569,24.0894081788164,39.7307594615189,1.95580391160782
"Hermosillo",26030,2018,34.1795246038365,25.2189324437031,39.1680567139283,1.43348623853211
"Hermosillo",26030,2019,34.4929032258065,25.341935483871,38.6632258064516,1.50193548387097
"Hermosillo",26030,2020,35.9046945034206,25.1553039238814,37.4223480380593,1.51765353463867
"Hermosillo",26030,2021,36.0101876396902,24.7881906543999,37.6370913249129,1.56453038099693
"Hermosillo",26030,2022,36.3390816538541,24.2052773737793,37.6688136297527,1.78682734261375
"Huásabas",26032,2017,8.10810810810811,14.8648648648649,71.6216216216216,5.40540540540541
"Huásabas",26032,2018,8.91089108910891,14.8514851485149,72.2772277227723,3.96039603960396
"Huatabampo",26033,2010,10.9803921568627,18.1699346405229,65.359477124183,5.49019607843137
"Huatabampo",26033,2011,13.7299771167048,21.0526315789474,61.6704805491991,3.54691075514874
"Huatabampo",26033,2012,15.7551020408163,19.0204081632653,60.0816326530612,5.14285714285714
"Huatabampo",26033,2013,8.25,16.25,69,6.5
"Huatabampo",26033,2014,18.3177570093458,18.8785046728972,55.1401869158878,7.66355140186916
"Huatabampo",26033,2015,19.3034825870647,21.6915422885572,52.7363184079602,6.26865671641791
"Huatabampo",26033,2016,16.1936560934891,23.3722871452421,54.2570951585977,6.17696160267112
"Huatabampo",26033,2017,10.8991825613079,23.9782016348774,58.58310626703,6.53950953678474
"Huatabampo",26033,2018,17.8890876565295,24.1502683363148,53.309481216458,4.65116279069767
"Huatabampo",26033,2019,28.9265536723164,22.3728813559322,42.5988700564972,6.10169491525424
"Huatabampo",26033,2020,27.0522388059701,25.9328358208955,41.2313432835821,5.78358208955224
"Huatabampo",26033,2021,26.0230849947534,26.9674711437566,43.8614900314795,3.14795383001049
"Huatabampo",26033,2022,25.1376146788991,24.954128440367,46.9724770642202,2.93577981651376
"Huépac",26034,2010,5.91397849462366,6.45161290322581,83.3333333333333,4.3010752688172
"Huépac",26034,2011,6,8,82,4
"Imuris",26035,2010,4.39024390243902,14.1463414634146,76.0975609756098,5.36585365853659
"Imuris",26035,2011,0.938967136150235,14.5539906103286,75.5868544600939,8.92018779342723
"Imuris",26035,2016,3.03030303030303,12.1212121212121,78.7878787878788,6.06060606060606
"Imuris",26035,2017,2.72108843537415,10.8843537414966,78.2312925170068,8.16326530612245
"Imuris",26035,2019,21.5189873417722,8.86075949367089,69.620253164557,0
"Imuris",26035,2020,22.8346456692913,9.44881889763779,67.7165354330709,0
"Imuris",26035,2021,27.027027027027,5.40540540540541,67.5675675675676,0
"La Colorada",26021,2012,6.01092896174863,13.6612021857924,73.7704918032787,6.55737704918033
"La Colorada",26021,2013,8.19672131147541,13.9344262295082,73.7704918032787,4.0983606557377
"La Colorada",26021,2014,5.59006211180124,13.0434782608696,77.0186335403727,4.34782608695652
"La Colorada",26021,2015,3.3112582781457,12.5827814569536,74.8344370860927,9.27152317880795
"Magdalena",26036,2010,13.5,14.5,67.5,4.5
"Magdalena",26036,2011,14.9732620320856,13.903743315508,67.9144385026738,3.20855614973262
"Magdalena",26036,2012,16.4893617021277,8.51063829787234,72.8723404255319,2.12765957446809
"Magdalena",26036,2013,31.7241379310345,13.448275862069,53.448275862069,1.37931034482759
"Magdalena",26036,2014,50.3703703703704,19.2592592592593,29.6296296296296,0.740740740740741
"Magdalena",26036,2015,43.0555555555556,15.2777777777778,38.8888888888889,2.77777777777778
"Magdalena",26036,2016,7.37327188940092,10.5990783410138,78.8018433179724,3.2258064516129
"Magdalena",26036,2017,11.7117117117117,9.45945945945946,76.5765765765766,2.25225225225225
"Magdalena",26036,2021,13.6094674556213,13.0177514792899,71.5976331360947,1.77514792899408
"Magdalena",26036,2022,10.5263157894737,13.1578947368421,73.6842105263158,2.63157894736842
"Mazatán",26037,2018,13.953488372093,22.093023255814,59.3023255813954,4.65116279069767
"Mazatán",26037,2019,13.953488372093,18.6046511627907,62.7906976744186,4.65116279069767
"Mazatán",26037,2022,20.5128205128205,20.5128205128205,51.2820512820513,7.69230769230769
"Moctezuma",26038,2018,36.7088607594937,25.3164556962025,37.9746835443038,0
"Moctezuma",26038,2019,33.9393939393939,24.2424242424242,41.2121212121212,0.606060606060606
"Moctezuma",26038,2020,26.4248704663212,21.2435233160622,51.2953367875648,1.03626943005181
"Moctezuma",26038,2021,31.7307692307692,26.9230769230769,40.3846153846154,0.961538461538462
"Moctezuma",26038,2022,27.5229357798165,21.1009174311927,49.5412844036697,1.8348623853211
"Naco",26039,2016,25.3164556962025,10.126582278481,64.5569620253165,0
"Naco",26039,2017,22.1153846153846,7.69230769230769,70.1923076923077,0
"Naco",26039,2022,10.7142857142857,34.5238095238095,54.7619047619048,0
"Nacozari de García",26041,2010,23.2804232804233,14.8148148148148,55.5555555555556,6.34920634920635
"Nacozari de García",26041,2011,23.0508474576271,23.0508474576271,50.5084745762712,3.38983050847458
"Nacozari de García",26041,2012,23.0031948881789,21.0862619808307,52.7156549520767,3.19488817891374
"Nacozari de García",26041,2013,30.3157894736842,20.8421052631579,46.7368421052632,2.10526315789474
"Nacozari de García",26041,2014,28.996282527881,21.5613382899628,47.9553903345725,1.48698884758364
"Nacozari de García",26041,2015,30.5389221556886,19.1616766467066,47.9041916167665,2.39520958083832
"Nacozari de García",26041,2016,31.4516129032258,19.3548387096774,48.3870967741936,0.806451612903226
"Navojoa",26042,2010,8.81812614819351,14.6356399265156,69.748928352725,6.79730557256583
"Navojoa",26042,2011,11.2854556427278,16.053108026554,65.7815328907664,6.87990343995172
"Navojoa",26042,2012,11.648223645894,18.0547466511357,63.075131042516,7.22189866045428
"Navojoa",26042,2013,16.4363636363636,20.2181818181818,57.1636363636364,6.18181818181818
"Navojoa",26042,2014,22.5624496373892,21.273166800967,53.1829170024174,2.98146655922643
"Navojoa",26042,2015,18.8468691878487,18.1029138251705,58.7724736515809,4.27774333539988
"Navojoa",26042,2016,17.3038229376258,19.2488262910798,58.6854460093897,4.76190476190476
"Navojoa",26042,2017,21.7179902755267,20.5834683954619,55.1053484602917,2.59319286871961
"Navojoa",26042,2018,27.7168494516451,26.4207377866401,44.6660019940179,1.19641076769691
"Navojoa",26042,2019,30.2631578947368,27.4122807017544,40.6798245614035,1.64473684210526
"Navojoa",26042,2020,28.3582089552239,24.2537313432836,45.7089552238806,1.67910447761194
"Navojoa",26042,2021,30.4715840386941,29.6251511487303,37.6058041112455,2.29746070133011
"Navojoa",26042,2022,36.1538461538462,26.6666666666667,35.8974358974359,1.28205128205128
"Nogales",26043,2010,16.1157024793388,23.1404958677686,59.0909090909091,1.65289256198347
"Nogales",26043,2011,17.7015755329008,21.501390176089,59.7775718257646,1.0194624652456
"Nogales",26043,2012,15.7788944723618,23.1155778894472,59.7989949748744,1.30653266331658
"Nogales",26043,2013,17.7227722772277,23.960396039604,55.3465346534654,2.97029702970297
"Nogales",26043,2014,21.5978928884987,25.9877085162423,50.8340649692713,1.58033362598771
"Nogales",26043,2015,19.1318327974277,28.3762057877814,50.8038585209003,1.68810289389068
"Nogales",26043,2016,18.9144736842105,29.6052631578947,50.1644736842105,1.31578947368421
"Nogales",26043,2017,18.8870151770658,31.787521079258,48.397976391231,0.927487352445194
"Nogales",26043,2018,17.1666666666667,31.25,50.8333333333333,0.75
"Nogales",26043,2019,22.7705627705628,25.4545454545455,50.5627705627706,1.21212121212121
"Nogales",26043,2020,26.8856447688564,24.0875912408759,48.5401459854015,0.48661800486618
"Nogales",26043,2021,26.9470404984424,26.6355140186916,45.7943925233645,0.623052959501558
"Nogales",26043,2022,25.5045871559633,25.5045871559633,48.0733944954128,0.917431192660551
"Puerto Peñasco",26048,2010,20.1646090534979,18.1069958847737,61.7283950617284,0
"Puerto Peñasco",26048,2011,14.1104294478528,24.5398773006135,60.1226993865031,1.22699386503067
"Puerto Peñasco",26048,2012,8.69565217391304,28.9855072463768,59.4202898550725,2.89855072463768
"Puerto Peñasco",26048,2013,9.67741935483871,20,66.4516129032258,3.87096774193548
"Puerto Peñasco",26048,2014,9.61538461538462,19.5054945054945,64.8351648351648,6.04395604395604
"Puerto Peñasco",26048,2015,1.86915887850467,28.9719626168224,56.0747663551402,13.0841121495327
"Puerto Peñasco",26048,2016,12.9464285714286,18.9732142857143,62.2767857142857,5.80357142857143
"Puerto Peñasco",26048,2017,15.5405405405405,27.7027027027027,53.1531531531532,3.6036036036036
"Puerto Peñasco",26048,2018,14.9253731343284,30.2238805970149,53.7313432835821,1.11940298507463
"Puerto Peñasco",26048,2019,9.82456140350877,29.8245614035088,56.8421052631579,3.50877192982456
"Puerto Peñasco",26048,2020,23.1075697211155,28.2868525896414,45.8167330677291,2.78884462151394
"Puerto Peñasco",26048,2021,24.6119733924612,22.1729490022173,49.8891352549889,3.32594235033259
"Quiriego",26049,2015,8.04597701149425,13.7931034482759,67.816091954023,10.3448275862069
"Quiriego",26049,2016,6.66666666666667,13.3333333333333,70.8333333333333,9.16666666666667
"Rosario",26051,2020,1.72413793103448,12.0689655172414,70.6896551724138,15.5172413793103
"Rosario",26051,2021,7.04225352112676,26.2910798122066,59.6244131455399,7.04225352112676
"Rosario",26051,2022,8,28,57.3333333333333,6.66666666666667
"Sahuaripa",26052,2014,20.9302325581395,19.7674418604651,56.9767441860465,2.32558139534884
"Sahuaripa",26052,2015,20,22.3529411764706,55.2941176470588,2.35294117647059
"Sahuaripa",26052,2016,18.9655172413793,21.8390804597701,56.6091954022989,2.58620689655172
"Sahuaripa",26052,2017,12.8654970760234,25.1461988304094,57.8947368421053,4.09356725146199
"Sahuaripa",26052,2018,12.8571428571429,28.5714285714286,55.7142857142857,2.85714285714286
"Sahuaripa",26052,2021,2.63157894736842,28.9473684210526,67.5438596491228,0.87719298245614
"Sahuaripa",26052,2022,0,26.6666666666667,73.3333333333333,0
"San Ignacio Río Muerto",26072,2010,1.98675496688742,11.2582781456954,79.4701986754967,7.28476821192053
"San Ignacio Río Muerto",26072,2011,5.66801619433198,23.4817813765182,66.8016194331984,4.04858299595142
"San Ignacio Río Muerto",26072,2012,3.34728033472803,20.9205020920502,70.7112970711297,5.02092050209205
"San Ignacio Río Muerto",26072,2013,1.82926829268293,20.1219512195122,70.7317073170732,7.31707317073171
